"1,""один тенге"",""coin1kzt"",""тенге"""
"2,""два тенге"",""coin2kzt"",""тенге"""
"5,""пять тенге"",""coin5kzt"",""тенге"""
"10,""десять тенге"",""coin10kzt"",""тенге"""
"20,""двадцать тенге"",""coin20kzt"",""тенге"""
"50,""пятьдесят тенге"",""coin50kzt"",""тенге"""
"100,""сто тенге"",""coin100kzt"",""тенге"""
